latitude,longitude,month,Wind Chill Index
11.5,0.5,4,-19.683357
11.5,0.75,4,-19.935648
11.5,1,4,-19.710289
11.5,1.25,4,-19.84198
11.5,1.5,4,-20.355219
11.5,1.75,4,-21.99928
11.5,2,4,-24.640366
11.5,2.25,4,-26.207302
11.5,2.5,4,-28.64733
11.5,2.75,4,-31.07274
11.5,3,4,-32.866135
11.5,-5,5,27.265947
11.5,-4.75,5,28.344969
11.5,-4.5,5,28.68668
11.5,-4.25,5,28.89483
11.5,-4,5,30.145277
11.5,-3.75,5,29.941189
11.5,-3.5,5,29.232555
11.5,-3.25,5,27.158226
11.5,-3,5,26.839523
11.5,-2.75,5,27.126081
11.5,-2.5,5,28.968506
11.5,-2.25,5,30.26675
11.5,-2,5,29.038012
11.5,-1.75,5,28.346264
11.5,-1.5,5,27.386078
11.5,-1.25,5,26.760365
11.5,-1,5,26.939121
11.5,-0.75,5,28.03916
11.5,-0.5,5,28.027891
11.5,-0.25,5,29.20691
11.5,0,5,29.94156
11.5,0.25,5,28.57286
11.5,0.5,5,29.219479
11.5,0.75,5,29.540834
11.5,1,5,29.997654
11.5,1.25,5,29.862648
11.5,1.5,5,29.422102
11.5,1.75,5,28.125864
11.5,2,5,26.579964
11.5,2.25,5,26.871775
11.5,2.5,5,24.515612
11.5,2.75,5,22.074404
11.5,3,5,20.449463
11.5,-5,6,75.97639
11.5,-4.75,6,77.05439
11.5,-4.5,6,77.74848
11.5,-4.25,6,78.817566
